duty,salary,url,company,publish,address,position
"<span class=""label"">职位描述：</span>",20000-24999/月,http://jobs.51job.com/beijing/80438173.html?s=0,北京聚众微阅科技有限公司,10-09,异地招聘,PHP全栈工程师
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing/73296683.html?s=0,付融宝（软银中国及上市公司投资平台）,10-09,南京,hadoop开发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-jyq/67843544.html?s=0,深圳市华讯方舟科技有限公司,10-09,南京-建邺区,JAVA高级开发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/81463526.html?s=0,京东商城,10-09,南京,JAVA工程师岗(012238)
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing-jnq/66030302.html?s=0,南京圣可尼服饰实业有限公司,10-09,南京-江宁区,电子商务总监
"<span class=""label"">职位描述：</span>",10000-15000/月,http://jobs.51job.com/nanjing/82086109.html?s=0,江苏国瑞信安科技有限公司,10-09,南京,java高级软件开发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/72722923.html?s=0,南京国电南思科技发展有限公司,10-09,南京,C++高级软件开发工程师 C++高级研发工程师
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing/79617386.html?s=0,华耀（中国）科技有限公司,10-09,南京,售前工程师
"<span class=""label"">职位描述：</span>",10-15万/年,http://jobs.51job.com/nanjing-jyq/67079537.html?s=0,中鸿税务师事务所有限公司,10-09,南京-建邺区,税审经理（年薪10w-15w左右）
"<span class=""label"">职位描述：</span>",30-40万/年,http://jobs.51job.com/chengdu-px/77752841.html?s=0,四川新荷花中药饮片股份有限公司,10-09,异地招聘,中药饮片大区销售经理
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/shanghai/79160876.html?s=0,上海鲁班软件有限公司,10-09,异地招聘,大客户经理/高级客户经理
"<span class=""label"">职位描述：</span>",10000-15000/月,http://jobs.51job.com/nanjing/74667328.html?s=0,江苏可兰素汽车环保科技有限公司,10-09,南京,财务经理
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-jyq/81795874.html?s=0,江苏未来域酒店管理有限公司上海第二分公司,10-09,南京-建邺区,投资经理
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-jnq/81138981.html?s=0,深圳市玛歌品牌管理有限公司,10-09,南京-江宁区,南京店长（店面经理）
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing/76048272.html?s=0,方正东亚信托有限责任公司,10-09,南京,理财经理
"<span class=""label"">职位描述：</span>",15000-35000/月,http://jobs.51job.com/nanjing-glq/74285119.html?s=0,中经堂健康产业(集团)有限公司南京分公司,10-09,南京-鼓楼区,项目经理/技术经理
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-xwq/74717311.html?s=0,一号家居网-南京,10-09,南京-玄武区,Java 高级工程师（集团）
"<span class=""label"">职位描述：</span>",10000-180000/月,http://jobs.51job.com/nanjing/81319545.html?s=0,南京领添信息技术有限公司,10-09,南京,PHP技术经理
"<span class=""label"">职位描述：</span>",15000-30000/月,http://jobs.51job.com/nanjing/80083090.html?s=0,苏宁云商集团股份有限公司-IT总部,10-09,南京,安全开发工程师（云安全）(002351)
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing-jnq/81258509.html?s=0,江苏享佳健康科技股份有限公司,10-09,南京-江宁区,.NET高级软件开发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/60273365.html?s=0,江苏金智教育信息股份有限公司,10-09,南京,高级Java工程师
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/beijing-hdq/82044159.html?s=0,北京地平线信息技术有限公司,10-09,异地招聘,IT运维工程师--芯片方向
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing-jnq/81766695.html?s=0,达美旅行网,10-09,南京-江宁区,架构师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/77274558.html?s=0,九次方大数据信息集团有限公司,09-20,南京-雨花台区,需求工程师
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing/71281318.html?s=0,上海佩才大数据科技有限公司,10-08,南京,分公司经理
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/81766900.html?s=0,中兴通讯股份有限公司,09-22,南京-雨花台区,综合方案经理（云计算/大数据/IDC方向）
